,ic,ev,label
chr11_r_c48109,70,0,NO
chr11_r_c48458,1971,0,NO
chr11_r_c48519,926,21,YES
chr11_r_c48683,460,26,YES
chr11_r_c48875,526,0,NO
chr11_r_c49259,611,0,NO
chr11_r_c49274,126,0,NO
chr11_r_c4930,57,0,NO
chr11_r_c49469,77,2,NO
chr11_r_c49487,55,0,NO
chr11_r_c49906,208,0,NO
chr11_r_c50552,167,0,NO
chr11_r_c50617,47,0,NO
chr11_r_c50644,130,0,NO
chr11_r_c50973,65,0,NO
chr11_r_c51036,60,0,NO
chr11_r_c51097,93,1,NO
chr11_r_c51149,362,1,NO
chr11_r_c51277,362,1,NO
chr11_r_c51305,81,0,NO
chr11_r_c51306,94,1,NO
chr11_r_c51502,57,0,NO
chr11_r_c51634,2136,0,NO
chr11_r_c51684,139,3,NO
chr11_r_c51981,172,0,NO
chr11_r_c51994,204,5,NO
chr11_r_c52315,64,0,NO
chr11_r_c5234,98,0,NO
chr11_r_c52468,100,0,NO
chr11_r_c52542,53,0,NO
chr11_r_c5255,96,2,NO
chr11_r_c52763,144,0,NO
chr11_r_c52782,50,0,NO
chr11_r_c52988,3810,17,NO
chr11_r_c53121,52,152,YES
chr11_r_c53122,304,0,NO
chr11_r_c53141,86,2,NO
chr11_r_c53368,63,0,NO
chr11_r_c53571,987,42,YES
chr11_r_c53593,65,0,NO
chr11_r_c53658,57,0,NO
chr11_r_c53904,355,2,NO
chr11_r_c5391,133,0,NO
chr11_r_c54065,269,5,NO
chr11_r_c54517,52,0,NO
chr11_r_c54655,339,0,NO
chr11_r_c5479,316,0,NO
chr11_r_c54846,132,0,NO
chr11_r_c54995,289,1,NO
chr11_r_c55040,63,1,NO
chr11_r_c55059,102,0,NO
chr11_r_c55074,100,327,YES
chr11_r_c5509,12601,975,YES
chr11_r_c55126,128,1,NO
chr11_r_c5513,397,59,YES
chr11_r_c55268,815,0,NO
chr11_r_c55367,57,2,NO
chr11_r_c55490,90,1,NO
chr11_r_c55535,84,1,NO
chr11_r_c55550,375,13,NO
chr11_r_c55771,62,0,NO
chr11_r_c55899,67,0,NO
chr11_r_c55993,129,0,NO
chr11_r_c56027,70,1,NO
chr11_r_c56168,69,1,NO
chr11_r_c56205,57,1,NO
chr11_r_c56323,5003,307,YES
chr11_r_c56351,70,0,NO
chr11_r_c56491,129,1,NO
chr11_r_c56505,57,14,NO
chr11_r_c56596,133,7,NO
chr11_r_c56628,142,1,NO
chr11_r_c56688,92,6,NO
chr11_r_c56992,296,0,NO
chr11_r_c5708,136,0,NO
chr11_r_c57185,53,0,NO
chr11_r_c57192,220,1,NO
chr11_r_c57461,536,3,NO
chr11_r_c57578,68,0,NO
chr11_r_c578,108,4,NO
chr11_r_c58011,321,0,NO
chr11_r_c58121,48,0,NO
chr11_r_c58216,275,0,NO
chr11_r_c58341,125,0,NO
chr11_r_c58425,63,0,NO
chr11_r_c58784,409,77,YES
chr11_r_c58794,62,191,YES
chr11_r_c58799,1600,15,NO
chr11_r_c58814,61,0,NO
chr11_r_c59127,69,0,NO
chr11_r_c59145,56,0,NO
chr11_r_c59286,63,8,NO
chr11_r_c59287,58,0,NO
chr11_r_c59476,141,0,NO
chr11_r_c59523,71,0,NO
chr11_r_c59681,60,0,NO
chr11_r_c5981,101,0,NO
chr11_r_c59887,190,2,NO
chr11_r_c5996,55,0,NO
chr11_r_c59965,48,0,NO
chr11_r_c60069,52,0,NO
chr11_r_c60125,50,0,NO
chr11_r_c60216,108,0,NO
chr11_r_c60230,99,0,NO
chr11_r_c6029,725,0,NO
chr11_r_c6050,770,8,NO
chr11_r_c6065,56,0,NO
chr11_r_c60692,333,0,NO
chr11_r_c61277,62,0,NO
chr11_r_c61300,178,0,NO
chr11_r_c61354,423,0,NO
chr11_r_c61471,227,1,NO
chr11_r_c61663,53,0,NO
chr11_r_c6196,59,0,NO
chr11_r_c62245,106,0,NO
chr11_r_c62332,111,1,NO
chr11_r_c62341,78,0,NO
chr11_r_c62342,194,0,NO
chr11_r_c62390,48,1,NO
chr11_r_c6250,63,0,NO
chr11_r_c62582,159,0,NO
chr11_r_c62727,53,3,NO
chr11_r_c62883,247,0,NO
chr11_r_c62885,66,1,NO
chr11_r_c62923,59,0,NO
chr11_r_c62925,56,0,NO
chr11_r_c63053,157,0,NO
chr11_r_c63134,82,0,NO
chr11_r_c63426,323,6,NO
chr11_r_c63501,17363,70,YES
chr11_r_c63538,66,0,NO
chr11_r_c63570,90,1,NO
chr11_r_c63683,360,3,NO
chr11_r_c63709,210,1228,YES
chr11_r_c63769,137,2,NO
chr11_r_c64,289,0,NO
chr11_r_c64000,192,0,NO
chr11_r_c64243,50,0,NO
chr11_r_c64296,102,0,NO
chr11_r_c64369,55,0,NO
chr11_r_c64413,148,0,NO
chr11_r_c64434,125,0,NO
chr11_r_c64544,70,1,NO
chr11_r_c64667,63,3,NO
chr11_r_c64704,578,195,YES
chr11_r_c64822,299,0,NO
chr11_r_c64964,302,0,NO
chr11_r_c65436,1827,3,NO
chr11_r_c65487,1084,1,NO
chr11_r_c65491,992,0,NO
chr11_r_c65494,11227,202,YES
chr11_r_c65497,501,1,NO
chr11_r_c65501,762,3,NO
chr11_r_c65505,4650,15,NO
chr11_r_c65507,3932,6,NO
chr11_r_c65509,6439,22,YES
chr11_r_c65515,53,0,NO
chr11_r_c65520,722,1,NO
chr11_r_c65525,103,0,NO
chr11_r_c65984,278,0,NO
chr11_r_c66553,52,0,NO
chr11_r_c66643,91,104,YES
chr11_r_c66853,310,0,NO
chr11_r_c66900,80,0,NO
chr11_r_c67042,173,0,NO
chr11_r_c67114,145,0,NO
chr11_r_c67115,78,0,NO
chr11_r_c67132,87,0,NO
chr11_r_c67140,77,0,NO
chr11_r_c67249,632,2,NO
chr11_r_c67413,110,5,NO
chr11_r_c67734,637,8,NO
chr11_r_c67757,75,0,NO
chr11_r_c67760,50,3,NO
chr11_r_c67843,816,0,NO
chr11_r_c67856,314,1264,YES
chr11_r_c68092,104,1,NO
chr11_r_c68134,105,0,NO
chr11_r_c68159,137,0,NO
chr11_r_c68474,150,1,NO
chr11_r_c68679,54,1,NO
chr11_r_c68813,264,0,NO
chr11_r_c68914,70,14,NO
chr11_r_c68915,306,0,NO
chr11_r_c69049,2379,0,NO
chr11_r_c69218,76,0,NO
chr11_r_c69316,1084,0,NO
chr11_r_c69499,61,0,NO
chr11_r_c6954,78,0,NO
chr11_r_c69649,71,0,NO
chr11_r_c69694,111,0,NO
chr11_r_c70251,51,3,NO
chr11_r_c70255,61,2,NO
chr11_r_c70256,62,2,NO
chr11_r_c70264,163,6,NO
chr11_r_c70268,64,1,NO
chr11_r_c70271,178,26,YES
chr11_r_c70273,6176,94,YES
chr11_r_c70277,64,0,NO
chr11_r_c70280,48,0,NO
chr11_r_c70281,68,9,NO
chr11_r_c70457,68,0,NO
chr11_r_c70521,52,1,NO
chr11_r_c70703,81,7,NO
chr11_r_c70744,64,0,NO
chr11_r_c70929,181,1,NO
chr11_r_c70982,58,0,NO
chr11_r_c71059,47,2,NO
chr11_r_c71096,2126,3,NO
chr11_r_c71218,48,0,NO
chr11_r_c713,88,0,NO
chr11_r_c71378,98,1,NO
chr11_r_c71387,186,0,NO
chr11_r_c71519,879,0,NO
chr11_r_c71645,101,9,NO
chr11_r_c71818,316,0,NO
chr11_r_c71986,325,0,NO
chr11_r_c72002,66,0,NO
chr11_r_c72077,385,0,NO
chr11_r_c72231,386,0,NO
chr11_r_c72475,47,0,NO
chr11_r_c72554,384,73,YES
chr11_r_c72555,99,5,NO
chr11_r_c72644,375,2,NO
chr11_r_c72840,100,0,NO
chr11_r_c72903,273,0,NO
chr11_r_c73003,3656,20,NO
chr11_r_c73042,65,0,NO
chr11_r_c73135,61,1,NO
chr11_r_c73152,114,0,NO
chr11_r_c73186,250,0,NO
chr11_r_c73470,194,0,NO
chr11_r_c73525,89,0,NO
chr11_r_c73553,56,0,NO
chr11_r_c73882,531,1,NO
chr11_r_c73898,177,0,NO
chr11_r_c73964,90,1,NO
chr11_r_c74073,53,47,YES
chr11_r_c74209,49,0,NO
chr11_r_c74505,92,0,NO
chr11_r_c74532,155,0,NO
chr11_r_c74582,294,301,YES
chr11_r_c75246,281,0,NO
chr11_r_c75316,80,0,NO
chr11_r_c7542,86,0,NO
chr11_r_c75472,54,0,NO
chr11_r_c75483,2062,0,NO
chr11_r_c75509,79,0,NO
chr11_r_c75530,86,4,NO
chr11_r_c75551,130,1,NO
chr11_r_c75558,202,4,NO
chr11_r_c7556,102,0,NO
chr11_r_c75568,106,1,NO
chr11_r_c75594,61,0,NO
chr11_r_c75828,76,0,NO
chr11_r_c76145,183,0,NO
chr11_r_c76390,72,0,NO
chr11_r_c76416,1043,2,NO
chr11_r_c76495,58,0,NO
chr11_r_c76556,297,2,NO
chr11_r_c7659,987,5,NO
chr11_r_c76676,67,0,NO
chr11_r_c76707,407,0,NO
chr11_r_c77245,48,5,NO
chr11_r_c77417,397,0,NO
chr11_r_c77466,99,0,NO
chr11_r_c77495,53,0,NO
chr11_r_c7762,117,377,YES
chr11_r_c78564,103,4,NO
chr11_r_c78612,49,2,NO
chr11_r_c7868,64,0,NO
chr11_r_c79196,65,0,NO
chr11_r_c79437,58,0,NO
chr11_r_c79504,52,0,NO
chr11_r_c79726,56,0,NO
chr11_r_c79860,51,0,NO
chr11_r_c8006,217,0,NO
chr11_r_c80072,70,0,NO
chr11_r_c8032,70,32,YES
chr11_r_c80347,404,5,NO
chr11_r_c80353,72,9,NO
chr11_r_c80422,49,0,NO
chr11_r_c80449,69,1,NO
chr11_r_c80476,142,0,NO
chr11_r_c80619,51,0,NO
chr11_r_c80638,88,0,NO
chr11_r_c80719,49,0,NO
chr11_r_c80743,459,0,NO
chr11_r_c81112,144,0,NO
chr11_r_c81139,51,4,NO
chr11_r_c81201,166,0,NO
chr11_r_c81301,67,0,NO
chr11_r_c8143,79,2,NO
chr11_r_c81442,561,3,NO
chr11_r_c81622,71,0,NO
chr11_r_c81686,60,0,NO
chr11_r_c81817,2008,27,YES
chr11_r_c82084,619,1,NO
chr11_r_c82115,739,4,NO
chr11_r_c82398,51,2,NO
chr11_r_c82611,40263,1293,YES
chr11_r_c82694,84635,2415,YES
chr11_r_c82708,445,6,NO
chr11_r_c82709,105657,1647,YES
chr11_r_c82724,260,1,NO
chr11_r_c8281,66,1,NO
chr11_r_c83083,58,0,NO
chr11_r_c83212,48,0,NO
chr11_r_c83268,97,0,NO
chr11_r_c83421,1570,93,YES
chr11_r_c83473,208,1,NO
chr11_r_c83476,2754,26,YES
chr11_r_c83477,49,0,NO
chr11_r_c83478,3015,89,YES
chr11_r_c83482,8209,87,YES
chr11_r_c83484,82,3,NO
chr11_r_c83485,85,0,NO
chr11_r_c83494,98,0,NO
chr11_r_c83502,70,0,NO
chr11_r_c83699,158,2,NO
chr11_r_c83762,53,1,NO
chr11_r_c83784,60,0,NO
chr11_r_c83804,400,0,NO
chr11_r_c83851,1821,0,NO
chr11_r_c83863,133,370,YES
chr11_r_c83884,49,18,NO
chr11_r_c84143,77,0,NO
chr11_r_c84237,65,0,NO
chr11_r_c84256,84,0,NO
chr11_r_c84278,97,0,NO
chr11_r_c84295,77,2,NO
chr11_r_c8430,57,0,NO
chr11_r_c84371,49,0,NO
chr11_r_c84453,185,0,NO
chr11_r_c84468,48,1,NO
chr11_r_c84516,55,0,NO
chr11_r_c84774,67,3,NO
chr11_r_c84838,321,1,NO
chr11_r_c84951,50,1,NO
chr11_r_c85228,126,0,NO
chr11_r_c85286,515,7,NO
chr11_r_c85412,68,0,NO
chr11_r_c85419,60,276,YES
chr11_r_c85510,753,6,NO
chr11_r_c85586,227,0,NO
chr11_r_c85681,72,0,NO
chr11_r_c85687,253,73,YES
chr11_r_c85887,182,0,NO
chr11_r_c86090,685,2,NO
chr11_r_c86223,391,2,NO
chr11_r_c86328,51,0,NO
chr11_r_c86384,3044,0,NO
chr11_r_c8650,58,1,NO
chr11_r_c86570,50,1,NO
chr11_r_c86574,113,1,NO
chr11_r_c86877,55,0,NO
chr11_r_c87220,81,1,NO
chr11_r_c875,5555,16,NO
chr11_r_c87544,62,4,NO
chr11_r_c8758,87,7,NO
chr11_r_c87612,54,1,NO
chr11_r_c88216,68,0,NO
chr11_r_c88232,55,2,NO
chr11_r_c8829,52,0,NO
chr11_r_c88944,54,1,NO
chr11_r_c89004,51,0,NO
chr11_r_c89022,57,0,NO
chr11_r_c89306,52,0,NO
chr11_r_c89721,386,0,NO
chr11_r_c89861,60,1,NO
chr11_r_c9035,132,0,NO
chr11_r_c90391,48,0,NO
chr11_r_c90449,188,2,NO
chr11_r_c90710,158,0,NO
chr11_r_c9106,193,0,NO
chr11_r_c91156,74,0,NO
chr11_r_c91200,65,1,NO
chr11_r_c91256,80,0,NO
chr11_r_c91447,82,0,NO
chr11_r_c91500,222,1,NO
chr11_r_c91878,161,6,NO
chr11_r_c92330,70,0,NO
chr11_r_c9259,85,0,NO
chr11_r_c934,48,0,NO
chr11_r_c953,97,0,NO
chr11_r_c9678,171,0,NO
chr11_r_c990,602,3,NO
chr11_r_c992,2794,1,NO
chr11_r_c9937,146,0,NO
chr12_f_c10007,68,0,NO
chr12_f_c10114,184,1,NO
chr12_f_c10145,111,0,NO
chr12_f_c10312,52,1,NO
chr12_f_c10470,2816,2196,YES
chr12_f_c1120,110,0,NO
chr12_f_c11334,86,0,NO
chr12_f_c11580,2734,124,YES
chr12_f_c11614,51,448,YES
chr12_f_c12093,48,0,NO
chr12_f_c12186,173,1,NO
chr12_f_c1293,137,0,NO
chr12_f_c12933,91,1,NO
chr12_f_c12990,48,1,NO
chr12_f_c13636,137,31,YES
chr12_f_c13873,452,3,NO
chr12_f_c13939,242,0,NO
chr12_f_c13963,170,0,NO
chr12_f_c14059,346,0,NO
chr12_f_c14102,70,0,NO
chr12_f_c14127,84,0,NO
chr12_f_c14162,86,0,NO
chr12_f_c14319,294,0,NO
chr12_f_c14324,60,0,NO
chr12_f_c14670,76,0,NO
chr12_f_c14694,175,0,NO
chr12_f_c14888,52,0,NO
chr12_f_c149,70,0,NO
chr12_f_c14968,179,0,NO
chr12_f_c14995,66,1,NO
chr12_f_c15274,55,0,NO
chr12_f_c15307,758,10,NO
chr12_f_c15391,164,0,NO
chr12_f_c15585,52,1,NO
chr12_f_c15709,2137,1187,YES
chr12_f_c15774,65,0,NO
chr12_f_c15801,93,0,NO
chr12_f_c15804,171,1,NO
chr12_f_c16308,66,0,NO
chr12_f_c16361,87,0,NO
chr12_f_c16371,65,1,NO
chr12_f_c16441,55,0,NO
chr12_f_c16564,259,0,NO
chr12_f_c16875,132,0,NO
chr12_f_c17214,152,0,NO
chr12_f_c17338,139,1,NO
chr12_f_c17604,312,0,NO
chr12_f_c17875,2075,0,NO
chr12_f_c18056,54,0,NO
chr12_f_c18457,107,1,NO
chr12_f_c18612,383,0,NO
chr12_f_c18725,112,0,NO
chr12_f_c18846,50,0,NO
chr12_f_c18911,114,6,NO
chr12_f_c19362,260,53,YES
chr12_f_c19441,80,0,NO
chr12_f_c19446,56,1,NO
chr12_f_c19448,386,20,NO
chr12_f_c19591,50,0,NO
chr12_f_c19626,79,0,NO
chr12_f_c19823,323,0,NO
chr12_f_c19966,61,0,NO
chr12_f_c19967,88,0,NO
chr12_f_c19998,194,11,NO
chr12_f_c20030,425,0,NO
chr12_f_c20235,116,0,NO
chr12_f_c20239,244,0,NO
chr12_f_c20364,66,0,NO
chr12_f_c20410,190,0,NO
chr12_f_c20425,71,1,NO
chr12_f_c2053,71,1,NO
chr12_f_c20537,47,0,NO
chr12_f_c20708,178,0,NO
chr12_f_c20744,52,0,NO
chr12_f_c20832,128,2,NO
chr12_f_c20941,56,0,NO
chr12_f_c20965,60,0,NO
chr12_f_c21124,67,0,NO
chr12_f_c21216,77,1,NO
chr12_f_c21511,111,0,NO
chr12_f_c21546,643,2,NO
chr12_f_c21587,187,0,NO
chr12_f_c21894,106,0,NO
chr12_f_c22388,106,1,NO
chr12_f_c22403,136,0,NO
chr12_f_c22630,596,0,NO
chr12_f_c22696,47,3,NO
chr12_f_c23075,67,3,NO
chr12_f_c23230,3148,33,YES
chr12_f_c23236,11352,115,YES
chr12_f_c23403,48,0,NO
chr12_f_c23432,619,259,YES
chr12_f_c23852,61,0,NO
chr12_f_c23868,72,0,NO
chr12_f_c24181,52,0,NO
chr12_f_c24223,140,3,NO
chr12_f_c24565,63,0,NO
chr12_f_c24674,51,0,NO
chr12_f_c24716,124,3,NO
chr12_f_c2472,52,0,NO
chr12_f_c24802,121,0,NO
chr12_f_c24814,48,0,NO
chr12_f_c24842,88,1,NO
chr12_f_c24921,59,0,NO
chr12_f_c251,129,0,NO
chr12_f_c25104,51,1,NO
chr12_f_c25132,135,0,NO
chr12_f_c25283,59,2,NO
chr12_f_c25285,842,23,YES
chr12_f_c25313,107,0,NO
chr12_f_c25688,78,0,NO
chr12_f_c25789,2563,111,YES
chr12_f_c2620,68,45,YES
chr12_f_c26311,47,2,NO
chr12_f_c26342,104,1,NO
chr12_f_c26394,49,0,NO
chr12_f_c26513,78,0,NO
chr12_f_c26596,50,0,NO
chr12_f_c27042,214,2,NO
chr12_f_c27420,521,0,NO
chr12_f_c27619,49,4,NO
chr12_f_c27684,137,5,NO
chr12_f_c2775,598,32,YES
chr12_f_c28104,598,0,NO
chr12_f_c28108,53,0,NO
chr12_f_c2826,2370,2,NO
chr12_f_c28441,85,0,NO
chr12_f_c28563,76,0,NO
chr12_f_c28640,3866,7,NO
chr12_f_c29123,7973,5,NO
chr12_f_c29266,93,0,NO
chr12_f_c29419,72,0,NO
chr12_f_c29561,108,0,NO
chr12_f_c29637,65,0,NO
chr12_f_c29638,73,0,NO
chr12_f_c29850,3222,3,NO
chr12_f_c29889,90,2,NO
chr12_f_c30169,74,0,NO
chr12_f_c30875,49,0,NO
chr12_f_c30915,121,2,NO
chr12_f_c31319,94,0,NO
chr12_f_c31320,206,7,NO
chr12_f_c31321,956,3,NO
chr12_f_c31403,863,10,NO
chr12_f_c31424,59,0,NO
chr12_f_c31657,157,0,NO
chr12_f_c31682,6168,334,YES
chr12_f_c32081,64,0,NO
chr12_f_c32190,75,0,NO
chr12_f_c32686,50,0,NO
chr12_f_c32841,73,0,NO
chr12_f_c32925,498,14,NO
chr12_f_c33318,180,0,NO
chr12_f_c33419,55,0,NO
chr12_f_c33428,127,0,NO
chr12_f_c33491,169,0,NO
chr12_f_c33565,274,0,NO
chr12_f_c34010,116,0,NO
chr12_f_c34012,259,0,NO
chr12_f_c34169,64,0,NO
chr12_f_c34545,74,0,NO
chr12_f_c35030,122,0,NO
chr12_f_c35040,75,1,NO
chr12_f_c35077,63,0,NO
chr12_f_c3530,60,0,NO
chr12_f_c35677,20274,556,YES
chr12_f_c35810,10988,218,YES
chr12_f_c36180,16061,272,YES
chr12_f_c36254,1355,188,YES
chr12_f_c3635,245,0,NO
chr12_f_c36407,47,0,NO
chr12_f_c36696,190,0,NO
chr12_f_c36835,49,0,NO
chr12_f_c36932,62,58,YES
chr12_f_c36997,116,2,NO
chr12_f_c37121,196,1,NO
chr12_f_c37322,49,1,NO
chr12_f_c37448,186,0,NO
chr12_f_c37499,111,0,NO
chr12_f_c37550,81,0,NO
chr12_f_c37640,76,2,NO
chr12_f_c37714,87,1,NO
chr12_f_c37717,178,0,NO
chr12_f_c37763,85,0,NO
chr12_f_c37781,1638,48,YES
chr12_f_c38028,174,1,NO
chr12_f_c38077,111,61,YES
chr12_f_c3820,91,1,NO
chr12_f_c38421,47,0,NO
chr12_f_c38425,73,0,NO
chr12_f_c38614,48,1,NO
chr12_f_c38876,187,0,NO
chr12_f_c3910,57,0,NO
chr12_f_c39115,49,0,NO
chr12_f_c39132,290,0,NO
chr12_f_c39521,276,0,NO
chr12_f_c39871,114,0,NO
chr12_f_c39919,68,0,NO
chr12_f_c39952,395,1881,YES
chr12_f_c39963,185,0,NO
chr12_f_c40003,49,0,NO
chr12_f_c40039,109,0,NO
chr12_f_c40084,137,0,NO
chr12_f_c40273,170,1,NO
chr12_f_c40517,88,0,NO
chr12_f_c40591,163,0,NO
chr12_f_c40833,59,0,NO
chr12_f_c40895,69,0,NO
chr12_f_c40936,209,0,NO
chr12_f_c4146,55,0,NO
chr12_f_c41478,74,0,NO
chr12_f_c41484,130,0,NO
chr12_f_c41682,125,0,NO
chr12_f_c41851,56727,1481,YES
chr12_f_c41898,474,0,NO
chr12_f_c42156,168,49,YES
chr12_f_c42536,711,5,NO
chr12_f_c43017,128,48,YES
chr12_f_c43102,48,0,NO
chr12_f_c43107,77,0,NO
chr12_f_c4311,157,0,NO
chr12_f_c43263,218,0,NO
chr12_f_c43334,109,0,NO
chr12_f_c4350,309,1,NO
chr12_f_c43618,66,0,NO
chr12_f_c43751,48,0,NO
chr12_f_c43805,56,1,NO
chr12_f_c43855,241,1,NO
chr12_f_c44027,266,0,NO
chr12_f_c44708,61,0,NO
chr12_f_c44712,53,1,NO
chr12_f_c44714,102,0,NO
chr12_f_c44971,207,0,NO
chr12_f_c4509,215,2,NO
chr12_f_c45517,71,1,NO
chr12_f_c45524,74,0,NO
chr12_f_c45531,72,0,NO
chr12_f_c45546,829,0,NO
chr12_f_c45557,101,0,NO
chr12_f_c45895,89,1,NO
chr12_f_c46156,151,0,NO
chr12_f_c4635,102,0,NO
chr12_f_c46362,325,1,NO
chr12_f_c46523,49,65,YES
chr12_f_c4663,54,1,NO
chr12_f_c46645,53,2,NO
chr12_f_c46814,51,0,NO
chr12_f_c4688,141,0,NO
chr12_f_c47379,78,0,NO
chr12_f_c47482,83,0,NO
chr12_f_c4794,285,0,NO
chr12_f_c47983,91,0,NO
chr12_f_c48003,81,0,NO
chr12_f_c48017,118,0,NO
chr12_f_c48090,109,0,NO
chr12_f_c48118,91,1,NO
chr12_f_c48148,560,0,NO
chr12_f_c48181,167,4,NO
chr12_f_c48297,66,0,NO
chr12_f_c48354,1192,10,NO
chr12_f_c48356,255,37,YES
chr12_f_c48381,899,0,NO
chr12_f_c48932,50,0,NO
chr12_f_c49008,388,1,NO
chr12_f_c49075,173,1,NO
chr12_f_c49080,65,1,NO
chr12_f_c49310,180,0,NO
chr12_f_c49720,128,0,NO
chr12_f_c49781,2095,1,NO
chr12_f_c49917,47,0,NO
chr12_f_c50357,49,0,NO
chr12_f_c50516,1718,0,NO
chr12_f_c50604,1055,5,NO
chr12_f_c50738,63,0,NO
chr12_f_c50800,148,0,NO
chr12_f_c51148,78,0,NO
chr12_f_c51278,279,1,NO
chr12_f_c5130,72,0,NO
chr12_f_c5132,112,8,NO
chr12_f_c51346,109,0,NO
chr12_f_c51766,106,2,NO
chr12_f_c51848,94,1,NO
chr12_f_c51943,53,0,NO
chr12_f_c52059,85,0,NO
chr12_f_c52158,126,0,NO
chr12_f_c52186,67,0,NO
chr12_f_c52551,121,0,NO
chr12_f_c52726,74,0,NO
chr12_f_c5276,190,0,NO
chr12_f_c52784,75,0,NO
chr12_f_c53027,52,0,NO
chr12_f_c53068,169,1,NO
chr12_f_c53295,106,0,NO
chr12_f_c53420,82,0,NO
chr12_f_c53467,58,0,NO
chr12_f_c53479,58,0,NO
chr12_f_c53491,85,0,NO
chr12_f_c53906,3079,0,NO
chr12_f_c53950,160,0,NO
chr12_f_c53991,1492,15,NO
chr12_f_c54301,2102,2,NO
chr12_f_c54359,239,0,NO
chr12_f_c54395,1948,0,NO
chr12_f_c54429,47,0,NO
chr12_f_c54555,59,0,NO
chr12_f_c54566,2153,2,NO
chr12_f_c54583,78,0,NO
chr12_f_c5487,125,0,NO
chr12_f_c55044,83,0,NO
chr12_f_c55163,88,0,NO
chr12_f_c55223,127,1,NO
chr12_f_c55321,265,219,YES
chr12_f_c55395,178,1,NO
chr12_f_c55554,137,1,NO
chr12_f_c55667,69,0,NO
chr12_f_c55750,99,1,NO
chr12_f_c56197,62,24,YES
chr12_f_c56401,569,0,NO
chr12_f_c56470,153,2,NO
chr12_f_c57063,53,0,NO
chr12_f_c57094,115,0,NO
chr12_f_c57163,201,1,NO
chr12_f_c57191,71,0,NO
chr12_f_c57309,1601,0,NO
chr12_f_c57328,65,0,NO
chr12_f_c57392,94,0,NO
chr12_f_c57423,151,0,NO
chr12_f_c57614,130,1,NO
chr12_f_c57740,822,7,NO
chr12_f_c58377,94,0,NO
chr12_f_c58421,47,1,NO
chr12_f_c58476,100,0,NO
chr12_f_c58509,140,0,NO
chr12_f_c58527,125,1,NO
chr12_f_c58530,68,0,NO
chr12_f_c58780,8478,41,YES
chr12_f_c58862,127,1,NO
chr12_f_c59032,7600,451,YES
chr12_f_c59149,378,0,NO
chr12_f_c59209,264,0,NO
chr12_f_c59285,51779,2010,YES
chr12_f_c59654,122,1,NO
chr12_f_c59760,251,0,NO
chr12_f_c59864,269,11,NO
chr12_f_c59946,51,0,NO
chr12_f_c59964,84,0,NO
chr12_f_c60024,78,2,NO
chr12_f_c60060,157,0,NO
chr12_f_c60126,249,2,NO
chr12_f_c60139,77,1,NO
chr12_f_c60298,747,8,NO
chr12_f_c60312,61,0,NO
chr12_f_c60318,55,11,NO
chr12_f_c60647,33582,1803,YES
chr12_f_c60653,88,0,NO
chr12_f_c60655,2694,48,YES
chr12_f_c6066,1106,15,NO
chr12_f_c60673,60,0,NO
chr12_f_c60726,109,0,NO
chr12_f_c60864,129,0,NO
chr12_f_c60865,1521,8,NO
chr12_f_c61032,60,28,YES
chr12_f_c62284,60,0,NO
chr12_f_c6236,56,2,NO
chr12_f_c6251,52,1,NO
chr12_f_c62576,232,7,NO
chr12_f_c6258,224,0,NO
chr12_f_c62671,113,1,NO
chr12_f_c63768,106,2,NO
chr12_f_c63925,56,1,NO
chr12_f_c64090,220,0,NO
chr12_f_c64124,2689,134,YES
chr12_f_c64374,68,0,NO
chr12_f_c64454,280,1,NO
chr12_f_c64585,48,0,NO
chr12_f_c64654,75,0,NO
chr12_f_c64667,153,1,NO
chr12_f_c64673,266,1,NO
chr12_f_c64741,147,1,NO
chr12_f_c65135,60,0,NO
chr12_f_c65357,359,0,NO
chr12_f_c65582,53,0,NO
chr12_f_c65751,54,0,NO
chr12_f_c65770,437,2,NO
chr12_f_c65771,85,0,NO
chr12_f_c65955,50,0,NO
chr12_f_c66214,62,0,NO
chr12_f_c66401,52,0,NO
chr12_f_c66722,423,0,NO
chr12_f_c66905,58,0,NO
chr12_f_c67414,170,0,NO
chr12_f_c67509,55,1,NO
chr12_f_c67604,204,0,NO
chr12_f_c67615,91,0,NO
chr12_f_c67779,63,2,NO
chr12_f_c67913,58,16,NO
chr12_f_c68385,93,0,NO
chr12_f_c68519,51,0,NO
chr12_f_c69093,158,0,NO
chr12_f_c69301,82,335,YES
chr12_f_c69344,64,0,NO
chr12_f_c69430,122,0,NO
chr12_f_c6991,4854,7,NO
chr12_f_c69993,60,0,NO
chr12_f_c70304,129,0,NO
chr12_f_c70376,230,0,NO
chr12_f_c70405,185,0,NO
chr12_f_c7065,93846,2086,YES
chr12_f_c7067,8860,146,YES
chr12_f_c70737,73,5,NO
chr12_f_c70818,126,0,NO
chr12_f_c70880,59,0,NO
chr12_f_c71195,63,0,NO
chr12_f_c71284,181,0,NO
chr12_f_c71350,60,0,NO
chr12_f_c71418,163,12,NO
chr12_f_c71513,51,0,NO
chr12_f_c71572,82,0,NO
chr12_f_c71598,578,0,NO
chr12_f_c71735,69,1,NO
chr12_f_c7195,71,0,NO
chr12_f_c72062,105,9,NO
chr12_f_c72604,127,0,NO
chr12_f_c7270,83,0,NO
chr12_f_c72877,84,0,NO
chr12_f_c72883,228,0,NO
chr12_f_c73277,229,0,NO
chr12_f_c73298,61,0,NO
chr12_f_c73324,120,0,NO
